epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1889.89,1.81313,3.5948,1.68602,1.39793,0,0.40596,0.28848,0.25785,0.12336,0.36539,0.23726,0.1716,0.06123,1.93772,3.7776,2.17289,1.44989,0,0.0014654,0.0014654,0.0014654
29,1954.54,1.75515,3.474,1.86498,1.37534,0,0.3959,0.30713,0.25847,0.11395,0.36596,0.24017,0.18562,0.06233,2.01511,3.82999,2.15379,1.48437,0,0.0014456,0.0014456,0.0014456
30,2020.55,1.78937,3.48271,1.74409,1.41285,0,0.25957,0.25764,0.14036,0.06905,0.2106,0.18632,0.08925,0.03285,1.90088,3.9141,2.4079,1.46041,0,0.0014258,0.0014258,0.0014258
31,2085.84,1.78997,3.52212,1.66715,1.37887,0,0.31434,0.24309,0.20978,0.1074,0.24694,0.17176,0.12759,0.0522,1.90094,3.92597,2.14182,1.48367,0,0.001406,0.001406,0.001406
32,2150.93,1.71508,3.46864,1.53686,1.365,0,0.34745,0.30422,0.26747,0.13429,0.28994,0.21106,0.17279,0.07156,1.83328,3.78813,1.9801,1.41217,0,0.0013862,0.0013862,0.0013862
33,2218.73,1.76758,3.48097,1.64113,1.36254,0,0.40741,0.27948,0.27806,0.13227,0.378,0.19505,0.16954,0.05953,1.87311,3.69068,2.00124,1.43206,0,0.0013664,0.0013664,0.0013664
34,2283.68,1.78064,3.62141,1.86078,1.38315,0,0.25205,0.32169,0.21316,0.09316,0.22771,0.2067,0.13141,0.04158,1.93146,3.83857,2.21251,1.44911,0,0.0013466,0.0013466,0.0013466
35,2351.56,1.81347,3.61216,1.63751,1.40178,0,0.44145,0.33916,0.33103,0.15438,0.3706,0.24163,0.20598,0.08365,1.8941,3.79439,1.88193,1.45888,0,0.0013268,0.0013268,0.0013268
36,2417.33,1.81267,3.51596,1.68849,1.39592,0,0.47064,0.34643,0.33933,0.16768,0.38239,0.26638,0.21541,0.07997,1.81799,3.7777,1.88609,1.39975,0,0.001307,0.001307,0.001307
37,2479.37,1.71126,3.43994,1.62321,1.34505,0,0.43885,0.36681,0.33341,0.15837,0.37604,0.246,0.21566,0.07697,1.83088,3.6779,1.85637,1.42682,0,0.0012872,0.0012872,0.0012872
38,2544.18,1.78637,3.4811,1.68513,1.40603,0,0.38605,0.31587,0.26032,0.12132,0.36612,0.24891,0.18072,0.06453,1.8923,3.89887,2.56313,1.4243,0,0.0012674,0.0012674,0.0012674
39,2610.28,1.80415,3.46296,1.62275,1.42657,0,0.37463,0.30568,0.25536,0.12497,0.3462,0.23144,0.16884,0.06755,1.86038,4.11664,2.40317,1.42865,0,0.0012476,0.0012476,0.0012476
40,2673.05,1.70578,3.47705,1.68524,1.35197,0,0.43984,0.32751,0.29312,0.14641,0.37509,0.25036,0.19211,0.07668,1.81105,3.98264,2.01697,1.41971,0,0.0012278,0.0012278,0.0012278
41,2735.29,1.76578,3.47638,1.6597,1.39106,0,0.46103,0.34207,0.33211,0.16574,0.39623,0.24745,0.22847,0.08522,1.81189,3.72447,1.86944,1.38085,0,0.001208,0.001208,0.001208
42,2800.23,1.76007,3.55519,1.61486,1.40482,0,0.41125,0.33624,0.30645,0.15282,0.35796,0.23435,0.19981,0.08228,1.88745,3.78383,1.90556,1.40467,0,0.0011882,0.0011882,0.0011882
43,2863.9,1.78925,3.53102,1.53158,1.36196,0,0.38982,0.35517,0.30653,0.15981,0.31018,0.22707,0.18384,0.07545,1.79689,3.85779,2.01837,1.37315,0,0.0011684,0.0011684,0.0011684
44,2926.78,1.69788,3.48252,1.68891,1.3702,0,0.38671,0.31206,0.28634,0.1439,0.31159,0.22999,0.18692,0.06938,1.84884,3.721,1.98341,1.41943,0,0.0011486,0.0011486,0.0011486
45,2990.28,1.67555,3.5304,1.55774,1.31563,0,0.39664,0.32152,0.28865,0.14557,0.31925,0.24097,0.18698,0.0689,1.83524,3.56619,2.06216,1.37839,0,0.0011288,0.0011288,0.0011288
46,3057.34,1.6729,3.49356,1.51421,1.36882,0,0.40252,0.33047,0.28997,0.14428,0.36511,0.24108,0.19167,0.07049,1.82918,3.61307,1.97617,1.36239,0,0.001109,0.001109,0.001109
47,3122.67,1.76484,3.45826,1.59178,1.37398,0,0.38422,0.28967,0.27082,0.13895,0.31409,0.2198,0.1736,0.06831,1.81571,3.69062,1.93128,1.39457,0,0.0010892,0.0010892,0.0010892
48,3186.4,1.65639,3.34666,1.50872,1.31114,0,0.40997,0.27074,0.26244,0.13663,0.31909,0.20524,0.15639,0.05817,1.78907,3.7626,1.9325,1.37598,0,0.0010694,0.0010694,0.0010694
49,3250.96,1.70706,3.39333,1.5828,1.37841,0,0.40294,0.29372,0.28893,0.15123,0.31419,0.2198,0.16494,0.06476,1.77396,3.75654,1.9256,1.38962,0,0.0010496,0.0010496,0.0010496
50,3318.77,1.6995,3.4771,1.57267,1.35171,0,0.47969,0.32314,0.33116,0.16438,0.38322,0.24163,0.20039,0.08046,1.74519,3.70309,1.85331,1.36528,0,0.0010298,0.0010298,0.0010298
51,3386.65,1.6801,3.31201,1.54804,1.32771,0,0.37396,0.31441,0.27982,0.14035,0.30533,0.22416,0.17048,0.06772,1.76152,3.5775,1.89852,1.38233,0,0.00101,0.00101,0.00101
52,3455.29,1.70507,3.49619,1.65642,1.41449,0,0.34977,0.2722,0.2465,0.12253,0.29269,0.1936,0.1515,0.06157,1.82655,3.74452,1.95697,1.43749,0,0.0009902,0.0009902,0.0009902
53,3525.49,1.67517,3.40935,1.50234,1.35817,0,0.42063,0.29258,0.27502,0.14088,0.36599,0.21689,0.17831,0.07214,1.75874,3.77523,2.14957,1.36803,0,0.0009704,0.0009704,0.0009704
54,3595.8,1.65038,3.3374,1.48184,1.33741,0,0.47534,0.28239,0.2952,0.1497,0.40858,0.21106,0.1888,0.0746,1.7471,3.67812,1.95269,1.37126,0,0.0009506,0.0009506,0.0009506
55,3665.92,1.61961,3.35638,1.4606,1.3125,0,0.46472,0.31295,0.33722,0.17172,0.41806,0.2196,0.20777,0.0793,1.74033,3.66856,1.81736,1.34152,0,0.0009308,0.0009308,0.0009308
56,3733.83,1.66385,3.36352,1.63595,1.31705,0,0.38333,0.35953,0.33258,0.17166,0.33922,0.22416,0.18958,0.07448,1.70272,3.66273,1.90185,1.33076,0,0.000911,0.000911,0.000911
57,3805.81,1.70191,3.41918,1.51125,1.36046,0,0.33713,0.3639,0.28486,0.14063,0.29298,0.21252,0.15631,0.05766,1.77061,3.77043,2.1535,1.33819,0,0.0008912,0.0008912,0.0008912
58,3871.73,1.66033,3.20069,1.53315,1.33137,0,0.41604,0.33624,0.29673,0.14825,0.37279,0.2284,0.18958,0.06982,1.73392,3.66093,2.07662,1.35866,0,0.0008714,0.0008714,0.0008714
59,3937.89,1.64289,3.29137,1.46384,1.3189,0,0.42571,0.32694,0.29984,0.14989,0.3292,0.23581,0.18741,0.06957,1.74725,3.67975,1.99145,1.35948,0,0.0008516,0.0008516,0.0008516
60,4000.64,1.63284,3.29882,1.45055,1.27699,0,0.36907,0.33916,0.29827,0.15357,0.29724,0.24891,0.18774,0.07137,1.75097,3.63038,1.99506,1.34923,0,0.0008318,0.0008318,0.0008318
61,4069.29,1.68943,3.25774,1.47524,1.29489,0,0.38532,0.35039,0.30508,0.15409,0.34041,0.27345,0.21342,0.08058,1.78038,3.58243,1.97821,1.34552,0,0.000812,0.000812,0.000812
62,4131.59,1.61733,3.25716,1.38541,1.28963,0,0.41111,0.35662,0.32342,0.16506,0.36136,0.26783,0.21705,0.07985,1.73594,3.56295,1.88968,1.32519,0,0.0007922,0.0007922,0.0007922
63,4197.32,1.63305,3.26735,1.43094,1.28493,0,0.46907,0.32023,0.32579,0.17112,0.40144,0.23435,0.19413,0.07331,1.70513,3.67174,1.79439,1.33532,0,0.0007724,0.0007724,0.0007724
